Transaction Date,Amount,Province,City,Description,Category
2022-09-07,-15.75,BC,VANCOUVER,GOLDS GYM BROADWAY,
2022-09-06,-50.68,BC,BURNABY,TOMMY HILFIGER #863,
2022-09-07,134.41,OU,MENT - THANK Y,PAY,
2022-09-06,-14.65,BC,BURNABY,OPA025-METROTOWN,
2022-09-06,-33.58,BC,BURNABY,URBAN PLANET 1386,
2022-09-06,-29.65,BC,BURNABY,URBAN BEHAVIOR #1572,
2022-09-06,-15.66,BC,BURNABY,MUJI METRO TOWN,
2022-09-06,65.98,OU,MENT - THANK Y,PAY,
2022-09-06,-9.51,EU,amburg       D,STEAMGAMES.COM 4259522 H,Eating Out
2022-09-05,-33.14,BC,VANCOUVER,JUSTIN'S NF #3807,
2022-09-04,-14.4,BC,VANCOUVER,MAZUYA SUSHI,Eating Out
2022-09-03,-22.14,BC,BURNABY,ADMIRAL PUB,
2022-09-03,-17.6,BC,VANCOUVER,MCDONALD'S #4894   Q04,
2022-09-02,-11.94,BC,VANCOUVER,A & W MARINE GATEWAY,
2022-09-02,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-09-02,-15.7,BC,RICHMOND,SABOTEN ABERDEEN RESTA,
2022-09-02,90.93,OU,MENT - THANK Y,PAY,
2022-09-01,-35.0,BC,VANCOUVER,ALMA GUITAR SHOP,Music/Band
2022-09-01,-30.98,BC,VANCOUVER,PAMPERDOURS HAIR NAIL,Clothing/Haircuts
2022-08-31,-24.45,BC,VANCOUVER,DONAIR AND SUB HOUSE,
2022-08-31,-15.75,BC,VANCOUVER,GOLDS GYM BROADWAY,
2022-08-30,142.5,OU,MENT - THANK Y,PAY,
2022-08-29,-50.78,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2022-08-29,57.66,OU,MENT - THANK Y,PAY,
2022-08-29,-5.3,LD,msterdam     N,G2A.COM                A,
2022-08-28,-1.12,BC,VANCOUVER,JUSTIN'S NF #3807,
2022-08-28,-65.34,BC,VANCOUVER,JUSTIN'S NF #3807,
2022-08-27,-4.99,BC,BURNABY,CHARTWELLS-67355 SFU,
2022-08-26,-23.4,BC,VANCOUVER,AKBAR'S OWN DINING LOU,
2022-08-26,-14.6,BC,VANCOUVER,MAZUYA SUSHI,Eating Out
2022-08-25,-27.7,BC,VANCOUVER,FIVE STAR FRIED CHICKE,
2022-08-23,-2.84,ON,TORONTO,UBER* EATS,Eating Out
2022-08-23,101.32,OU,MENT - THANK Y,PAY,
2022-08-23,-18.99,ON,TORONTO,UBER* EATS,Eating Out
2022-08-22,-32.5,ON,TORONTO,UBER CANADA/UBEREATS,Eating Out
2022-08-22,-3.33,ON,TORONTO,UBER CANADA/UBEREATS,Eating Out
2022-08-20,-28.04,BC,VANCOUVER,SIX ACRES CAFE,Eating Out
2022-08-20,-8.0,BC,VANCOUVER,SQ *IGNITE PIZZERIA,Eating Out
2022-08-19,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-08-15,12.28,OU,MENT - THANK Y,PAY,
2022-08-14,-12.55,BC,VANCOUVER,MAZUYA SUSHI,Eating Out
2022-08-13,-8.95,EU,EATTLE       D,STEAM PURCHASE         S,Eating Out
2022-08-13,-15.99,BC,VANCOUVER,MCDONALD'S #19170  Q04,
2022-08-13,-3.13,BC,VANCOUVER,GROCERY CHECKOUT,
2022-08-11,-14.68,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-08-12,1033.26,OU,MENT - THANK Y,PAY,
2022-08-10,-12.28,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-08-10,-1027.95,BC,4029357733,PAYPAL *VANCOUVERDR,
2022-08-09,-5.31,ON,BRAMPTON,INDIGO ONLINE,
2022-08-09,155.13,OU,MENT - THANK Y,PAY,
2022-08-06,-8.98,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-08-06,-12.99,BC,VANCOUVER,MAZUYA SUSHI,Eating Out
2022-08-05,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-08-04,-11.6,BC,VANCOUVER,NORI BENTO & UDON,
2022-08-04,-42.0,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2022-08-03,-14.7,BC,N-VANCOUVER,KING PINS SOCIAL HOUSE,
2022-08-03,-15.49,BC,VANCOUVER,GALLERY,
2022-08-03,-19.4,BC,NORTH VANCOUV,BROWNS SOCIALHOUSE LOW,
2022-08-04,280.7,OU,MENT - THANK Y,PAY,
2022-08-03,-19.99,BC,NORTH VANCOUV,SALARMY CAPILANO THRIF,
2022-08-01,-23.48,BC,VANCOUVER,SAVE ON FOODS #940,
2022-07-31,-12.55,BC,VANCOUVER,MAZUYA SUSHI,Eating Out
2022-07-31,-62.43,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2022-07-31,-5.5,BC,Vancouver,SQ *VANCOUVER JAPANESE,
2022-07-30,-41.99,BC,VANCOUVER,BODY ENERGY CLUB (KITS,
2022-07-30,-55.99,EU,amburg       D,STEAMGAMES.COM 4259522 H,Eating Out
2022-07-29,634.09,OU,MENT - THANK Y,PAY,
2022-07-28,-12.38,BC,VANCOUVER,SUBWAY,
2022-07-28,-42.02,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2022-07-27,-24.36,BC,VANCOUVER,NELLYS GRILL,
2022-07-26,-44.79,BC,VANCOUVER,ALMA GUITAR SHOP,Music/Band
2022-07-26,-12.06,BC,VANCOUVER,NORI BENTO & UDON,
2022-07-25,-10.4,BC,VANCOUVER,SEOUL HOTDOG,
2022-07-25,-9.98,BC,Vancouver,SQ *GREAT DANE COFFEE,
2022-07-24,-30.0,ON,MISSISSAUGA,COINAMATIC,
2022-07-24,-28.09,LD,MSTERDAM     N,G2A.COM                A,
2022-07-23,-62.77,BC,VANCOUVER,JUSTIN'S NF #3807,
2022-07-23,-156.37,BC,Burnaby,Uniqlo Canada POS_CA_M,Clothing/Haircuts
2022-07-22,-33.59,BC,BURNABY,H&M CA #059-METROPOLIS,
2022-07-22,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-07-22,-14.42,BC,BURNABY,A&W SKYTRAIN #726,
2022-07-21,-21.55,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-07-21,-171.35,BC,VANCOUVER,ALMA GUITAR SHOP,Music/Band
2022-07-21,160.47,OU,MENT - THANK Y,PAY,
2022-07-20,-6.14,BC,VANCOUVER,CHATIME,
2022-07-20,-22.6,BC,VANCOUVER,RYUU JAPANESE KITCHEN,
2022-07-19,-17.09,BC,VANCOUVER,WHITE SPOT,
2022-07-19,-19.63,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2022-07-18,-5.51,BC,VANCOUVER,UPPER CASE,
2022-07-13,-19.02,BC,VANCOUVER,GALLERY,
2022-07-13,-16.99,BC,VANCOUVER,BROWNS CRAFTHOUSE UBC,
2022-07-13,-62.53,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2022-07-12,-9.96,BC,VANCOUVER,NORI BENTO & UDON,
2022-07-12,313.18,OU,MENT - THANK Y,PAY,
2022-07-11,-9.74,BC,VANCOUVER,TIM HORTONS #9236,
2022-07-09,-10.4,BC,VANCOUVER,WINDSOR PLYWOOD VANC.,
2022-07-08,-41.07,BC,VANCOUVER,JUSTIN'S NF #3807,
2022-07-08,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-07-07,-19.47,BC,VANCOUVER,NOODLEBOX KITSILANO,Eating Out
2022-07-07,-5.6,BC,VANCOUVER,BODY ENERGY CLUB (KITS,
2022-07-06,-40.15,BC,VANCOUVER,AKBAR'S OWN DINING LOU,
2022-07-06,-8.95,BC,VANCOUVER,LONDON DRUGS   74,Household
2022-07-06,-46.16,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2022-07-05,-19.37,BC,VANCOUVER,MASA JAPANESE RESTAURA,
2022-07-05,132.44,OU,MENT - THANK Y,PAY,
2022-07-04,-87.63,BC,VANCOUVER,UNIVERSITY PHARMACY,
2022-07-04,-11.64,BC,VANCOUVER,NORI BENTO & UDON,
2022-07-01,-12.76,EU,EATTLE       D,STEAM PURCHASE         S,Eating Out
2022-07-02,-12.21,BC,VANCOUVER,MENCHIES,
2022-07-02,-31.92,BC,VANCOUVER,JUSTIN'S NF #3807,
2022-06-29,-9.17,BC,VANCOUVER,BENJAMIN MOORE BROADWA,
2022-06-28,-19.2,BC,VANCOUVER,AKBAR'S OWN DINING LOU,
2022-06-28,-17.91,BC,VANCOUVER,BED BATH AND BEYOND #2,
2022-06-28,-42.03,BC,VANCOUVER,BENJAMIN MOORE BROADWA,
2022-06-28,156.19,OU,MENT - THANK Y,PAY,
2022-06-25,-19.32,BC,RICHMOND,THE STORY CAFE,Eating Out
2022-06-25,-17.2,BC,VANCOUVER,VIET HOUSE VIETNAMESE,
2022-06-24,-13.11,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-06-24,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-06-24,308.86,OU,MENT - THANK Y,PAY,
2022-06-23,-31.5,BC,VANCOUVER,PAMPERDOURS HAIR NAIL,Clothing/Haircuts
2022-06-22,-52.5,BC,VANCOUVER,PANDORA'S BOX REHEARSA,
2022-06-22,-12.58,BC,VANCOUVER,WENDY'S RESTAURANTS,Eating Out
2022-06-22,-185.51,BC,VANCOUVER,ALMA GUITAR SHOP,Music/Band
2022-06-22,-8.95,BC,VANCOUVER,LONDON DRUGS   74,Household
2022-06-22,-56.73,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2022-06-21,106.79,OU,MENT - THANK Y,PAY,
2022-06-20,-22.73,BC,RICHMOND,IKEA RICHMOND,
2022-06-20,-13.99,BC,RICHMOND,IKEA RICHMOND,
2022-06-19,-20.95,BC,VANCOUVER,CHURCH'S CHICKEN,
2022-06-20,-10.0,BC,604-398-2042,COMPASS AUTOLOAD,
2022-06-17,-16.75,BC,VANCOUVER,AJIYA SUSHI,Eating Out
2022-06-16,-22.39,BC,VANCOUVER,LONDON DRUGS   74,Household
2022-06-16,-22.05,BC,VANCOUVER,MARKETPLACE IGA #23,Groceries
2022-06-15,-15.75,BC,VANCOUVER,GOLDS GYM BROADWAY,
2022-06-15,-19.85,EU,amburg       D,STEAMGAMES.COM 4259522 H,Eating Out
2022-06-14,304.31,OU,MENT - THANK Y,PAY,
2022-06-12,-20.09,ON,TORONTO,UBER CANADA/UBEREATS,Eating Out
2022-06-12,-5.26,ON,TORONTO,UBER CANADA/UBEREATS,Eating Out
2022-06-11,-24.67,BC,VANCOUVER,LONDON DRUGS   74,Household
2022-06-11,-37.57,BC,VANCOUVER,MARKETPLACE IGA #23,Groceries
2022-06-10,-14.44,BC,VANCOUVER,AJIYA SUSHI,Eating Out
2022-06-10,-14.2,BC,VANCOUVER,A&W STORE# 0751,
2022-06-10,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-06-10,-10.0,BC,604-398-2042,COMPASS AUTOLOAD,
2022-06-08,-29.08,BC,VANCOUVER,NOVO PIZZERIA AND WINE,Eating Out
2022-06-08,-4.1,BC,VANCOUVER,LIVNI - CAFÉ & BAKERY,Eating Out
2022-06-05,-17.64,BC,VANCOUVER,LE PETIT SAIGON,
2022-06-05,-17.81,BC,VANCOUVER,AJIYA SUSHI,Eating Out
2022-06-06,122.01,OU,MENT - THANK Y,PAY,
2022-06-06,-10.0,BC,604-398-2042,COMPASS AUTOLOAD,
2022-06-04,-18.72,BC,VANCOUVER,BEACH AVE BAR AND GRIL,
2022-06-04,-10.0,BC,604-398-2042,COMPASS AUTOLOAD,
2022-06-04,-7.35,BC,Vancouver,SQ *KOERNER'S PUB,
2022-06-04,-15.6,BC,Vancouver,SQ *KOERNER'S PUB,
2022-06-03,-19.93,BC,VANCOUVER,GALLERY,
2022-06-03,-17.87,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-05-31,-8.94,BC,VANCOUVER,LONDON DRUGS   74,Household
2022-05-31,-41.26,BC,VANCOUVER,LONDON DRUGS   74,Household
2022-05-31,-52.49,BC,VANCOUVER,BODY ENERGY CLUB (KITS,
2022-05-31,96.53,OU,MENT - THANK Y,PAY,
2022-05-30,-19.32,BC,VANCOUVER,JUSTIN'S NF #3807,
2022-05-29,-5.13,BC,VICTORIA,BCF - SALISH EAGLE,
2022-05-27,-9.45,BC,DELTA,FRANKIE'S BARBEQUE,
2022-05-27,-19.34,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-05-27,-21.21,BC,VANCOUVER,AJIYA SUSHI,Eating Out
2022-05-27,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-05-27,-10.0,BC,604-398-2042,COMPASS AUTOLOAD,
2022-05-25,-21.42,BC,VANCOUVER,SAFEWAY #4942,
